Onion,4.831541056772186,2.0,9.623082113544372
Onion,4.831541056772186,2.0,9.623082113544372
Tomato,4.823204594768706,2.0,9.606409189537413
Tomato,4.823204594768706,2.0,9.606409189537413
Tomato,4.823204594768706,2.0,9.606409189537413
Tomato,4.823204594768706,2.0,9.606409189537413
Onion,4.831541056772186,2.0,9.623082113544372
Onion,4.831541056772186,2.0,9.623082113544372
Onion,4.831541056772186,2.0,9.623082113544372
Onion,96.88684484669399,1.0,96.48684484669398
Onion,164.69126037636477,1.0,164.01126037636476
Cauliflower,193.68714980123272,1.0,192.8871498012327
Cauliflower,290.62794456030883,1.0,289.42794456030884
Cauliflower,289.69605072628485,2.0,576.9921014525697
Cauliflower,290.62794456030883,1.0,289.42794456030884
Onion,4.831541056772186,2.0,9.623082113544372
Onion,4.831541056772186,2.0,9.623082113544372
